sample	phylum	occurrence
NG5425286	Bacteroidota	12
NG5425286	Firmicutes_A	27
NG5425286	Firmicutes_C	1
NG5425286	Verrucomicrobiota	1
NG5425485	Bacteroidota	5
NG5425485	Firmicutes	3
NG5425485	Firmicutes_A	31
NG5425485	Firmicutes_C	1
NG5425550	Actinobacteriota	1
NG5425550	Bacteroidota	17
NG5425550	Firmicutes	5
NG5425550	Firmicutes_A	21
NG5425550	Proteobacteria	1
NG5636118	Actinobacteriota	1
NG5636118	Bacteroidota	28
NG5636118	Cyanobacteria	1
NG5636118	Firmicutes	6
NG5636118	Firmicutes_A	75
NG5636118	Firmicutes_C	1
NG5636118	Proteobacteria	4
NG5636118	Verrucomicrobiota	1
NG5636121	Actinobacteriota	4
NG5636121	Bacteroidota	23
NG5636121	Firmicutes	9
NG5636121	Firmicutes_A	71
NG5636121	Firmicutes_C	1
NG5636121	Proteobacteria	2
NG5636126	Actinobacteriota	6
NG5636126	Bacteroidota	27
NG5636126	Desulfobacterota_A	1
NG5636126	Euryarchaeota	2
NG5636126	Firmicutes	13
NG5636126	Firmicutes_A	71
NG5636126	Firmicutes_C	1
NG5636126	Verrucomicrobiota	1
NG5636146	Actinobacteriota	5
NG5636146	Bacteroidota	19
NG5636146	Firmicutes	7
NG5636146	Firmicutes_A	64
NG5636146	Firmicutes_C	1
NG5636146	Proteobacteria	1
NG5636158	Actinobacteriota	7
NG5636158	Bacteroidota	25
NG5636158	Desulfobacterota_A	1
NG5636158	Euryarchaeota	1
NG5636158	Firmicutes	1
NG5636158	Firmicutes_A	69
NG5636158	Firmicutes_C	2
NG5636158	Proteobacteria	1
NG5636158	Verrucomicrobiota	1
NG5636224	Bacteroidota	22
NG5636224	Euryarchaeota	1
NG5636224	Firmicutes	10
NG5636224	Firmicutes_A	68
NG5636224	Firmicutes_C	1
NG5636224	Proteobacteria	1
NG5636225	Actinobacteriota	2
NG5636225	Bacteroidota	17
NG5636225	Firmicutes	4
NG5636225	Firmicutes_A	61
NG5636225	Firmicutes_C	1
NG5636225	Verrucomicrobiota	1
NG5636235	Actinobacteriota	4
NG5636235	Bacteroidota	17
NG5636235	Firmicutes	9
NG5636235	Firmicutes_A	36
NG5636235	Firmicutes_C	2
NG5636235	Proteobacteria	1
NG5636235	Verrucomicrobiota	1
NG5636244	Actinobacteriota	4
NG5636244	Bacteroidota	20
NG5636244	Firmicutes	6
NG5636244	Firmicutes_A	47
NG5636244	Firmicutes_C	1
NG5636244	Proteobacteria	1
NG5636269	Actinobacteriota	2
NG5636269	Bacteroidota	15
NG5636269	Firmicutes	8
NG5636269	Firmicutes_A	52
NG5636269	Firmicutes_C	2
NG5636269	Verrucomicrobiota	1
NG5636278	Actinobacteriota	4
NG5636278	Bacteroidota	33
NG5636278	Cyanobacteria	1
NG5636278	Euryarchaeota	1
NG5636278	Firmicutes	14
NG5636278	Firmicutes_A	71
NG5636278	Firmicutes_C	1
NG5636278	Proteobacteria	2
NG5636278	Verrucomicrobiota	1
NG5636288	Actinobacteriota	1
NG5636288	Bacteroidota	15
NG5636288	Firmicutes	3
NG5636288	Firmicutes_A	45
NG5636288	Firmicutes_C	1
NG5636288	Proteobacteria	1
NG5636288	Verrucomicrobiota	1
NG5636304	Actinobacteriota	6
NG5636304	Bacteroidota	20
NG5636304	Firmicutes	3
NG5636304	Firmicutes_A	42
NG5636304	Firmicutes_C	2
NG5636312	Actinobacteriota	18
NG5636312	Bacteroidota	21
NG5636312	Desulfobacterota_A	1
NG5636312	Firmicutes	32
NG5636312	Firmicutes_A	72
NG5636312	Firmicutes_C	2
NG5636312	Proteobacteria	5
NG5636332	Actinobacteriota	5
NG5636332	Bacteroidota	8
NG5636332	Euryarchaeota	1
NG5636332	Firmicutes	8
NG5636332	Firmicutes_A	60
NG5636332	Firmicutes_C	1
NG5636332	Verrucomicrobiota	1
NG5636334	Actinobacteriota	6
NG5636334	Cyanobacteria	1
NG5636334	Firmicutes	4
NG5636334	Firmicutes_A	48
NG5636344	Actinobacteriota	1
NG5636344	Bacteroidota	25
NG5636344	Firmicutes	5
NG5636344	Firmicutes_A	42
NG5636344	Firmicutes_C	1
NG5636344	Verrucomicrobiota	1
NG5636349	Actinobacteriota	4
NG5636349	Bacteroidota	21
NG5636349	Firmicutes	7
NG5636349	Firmicutes_A	59
NG5636349	Firmicutes_C	2
NG5636350	Actinobacteriota	6
NG5636350	Bacteroidota	16
NG5636350	Euryarchaeota	1
NG5636350	Firmicutes	7
NG5636350	Firmicutes_A	64
NG5636350	Firmicutes_C	1
NG5636350	Verrucomicrobiota	1
NG5636372	Actinobacteriota	5
NG5636372	Bacteroidota	13
NG5636372	Firmicutes	3
NG5636372	Firmicutes_A	54
NG5636372	Firmicutes_C	1
NG5636378	Actinobacteriota	1
NG5636378	Bacteroidota	31
NG5636378	Euryarchaeota	1
NG5636378	Firmicutes	11
NG5636378	Firmicutes_A	81
NG5636378	Firmicutes_C	1
NG5636378	Proteobacteria	2
NG5636380	Actinobacteriota	1
NG5636380	Bacteroidota	11
NG5636380	Euryarchaeota	1
NG5636380	Firmicutes	10
NG5636380	Firmicutes_A	48
NG5636380	Firmicutes_C	2
NG5636380	Verrucomicrobiota	3
NG5636384	Actinobacteriota	6
NG5636384	Bacteroidota	13
NG5636384	Firmicutes	16
NG5636384	Firmicutes_A	52
NG5636384	Firmicutes_C	4
NG5636397	Bacteroidota	17
NG5636397	Euryarchaeota	2
NG5636397	Firmicutes	4
NG5636397	Firmicutes_A	42
NG5636397	Firmicutes_C	1
NG5636397	Verrucomicrobiota	1
NG5636421	Actinobacteriota	4
NG5636421	Bacteroidota	15
NG5636421	Firmicutes	9
NG5636421	Firmicutes_A	71
NG5636421	Firmicutes_C	3
NG5636422	Actinobacteriota	8
NG5636422	Bacteroidota	24
NG5636422	Desulfobacterota_A	2
NG5636422	Euryarchaeota	1
NG5636422	Firmicutes	18
NG5636422	Firmicutes_A	88
NG5636422	Firmicutes_C	7
NG5636432	Actinobacteriota	5
NG5636432	Bacteroidota	24
NG5636432	Desulfobacterota_A	1
NG5636432	Firmicutes	9
NG5636432	Firmicutes_A	69
NG5636432	Firmicutes_C	1
NG5636434	Actinobacteriota	4
NG5636434	Bacteroidota	23
NG5636434	Desulfobacterota_A	2
NG5636434	Firmicutes	3
NG5636434	Firmicutes_A	62
NG5636434	Firmicutes_C	2
NG5636434	Verrucomicrobiota	1
NG5636436	Actinobacteriota	2
NG5636436	Bacteroidota	25
NG5636436	Cyanobacteria	1
NG5636436	Desulfobacterota_A	1
NG5636436	Euryarchaeota	1
NG5636436	Firmicutes	9
NG5636436	Firmicutes_A	81
NG5636436	Firmicutes_C	1
NG5636436	Proteobacteria	1
NG5636436	Verrucomicrobiota	1
NG5636439	Actinobacteriota	4
NG5636439	Bacteroidota	17
NG5636439	Firmicutes	5
NG5636439	Firmicutes_A	51
NG5636439	Firmicutes_C	1
NG5636439	Verrucomicrobiota	1
NG5636457	Actinobacteriota	9
NG5636457	Bacteroidota	24
NG5636457	Firmicutes	18
NG5636457	Firmicutes_A	70
NG5636457	Firmicutes_C	3
NG5636458	Actinobacteriota	11
NG5636458	Bacteroidota	22
NG5636458	Desulfobacterota_A	2
NG5636458	Euryarchaeota	1
NG5636458	Firmicutes	11
NG5636458	Firmicutes_A	89
NG5636458	Firmicutes_C	3
NG5636458	Proteobacteria	1
NG5636458	Spirochaetota	1
NG5636458	Verrucomicrobiota	1
NG5636462	Actinobacteriota	3
NG5636462	Bacteroidota	26
NG5636462	Desulfobacterota_A	1
NG5636462	Euryarchaeota	1
NG5636462	Firmicutes	11
NG5636462	Firmicutes_A	90
NG5636462	Firmicutes_C	2
NG5636462	Proteobacteria	3
NG5636462	Verrucomicrobiota	1
NG5636472	Actinobacteriota	3
NG5636472	Bacteroidota	14
NG5636472	Firmicutes	6
NG5636472	Firmicutes_A	65
NG5636472	Firmicutes_C	1
NG5636479	Actinobacteriota	7
NG5636479	Bacteroidota	5
NG5636479	Euryarchaeota	1
NG5636479	Firmicutes	9
NG5636479	Firmicutes_A	85
NG5636479	Firmicutes_C	2
NG5636483	Actinobacteriota	2
NG5636483	Bacteroidota	29
NG5636483	Desulfobacterota_A	1
NG5636483	Firmicutes	6
NG5636483	Firmicutes_A	72
NG5636483	Firmicutes_C	2
NG5636483	Proteobacteria	1
NG5636484	Actinobacteriota	2
NG5636484	Bacteroidota	29
NG5636484	Desulfobacterota_A	1
NG5636484	Firmicutes	13
NG5636484	Firmicutes_A	65
NG5636484	Firmicutes_C	3
NG5636484	Proteobacteria	2
NG5636495	Actinobacteriota	8
NG5636495	Bacteroidota	30
NG5636495	Desulfobacterota_A	1
NG5636495	Firmicutes	9
NG5636495	Firmicutes_A	81
NG5636495	Firmicutes_C	2
NG5636495	Proteobacteria	1
NG5636495	Verrucomicrobiota	3
NG5636497	Actinobacteriota	7
NG5636497	Bacteroidota	36
NG5636497	Cyanobacteria	1
NG5636497	Euryarchaeota	1
NG5636497	Firmicutes	15
NG5636497	Firmicutes_A	83
NG5636497	Firmicutes_C	1
NG5636497	Proteobacteria	1
NG5636497	Verrucomicrobiota	1
NG5636524	Actinobacteriota	7
NG5636524	Bacteroidota	26
NG5636524	Euryarchaeota	1
NG5636524	Firmicutes	8
NG5636524	Firmicutes_A	73
NG5636524	Firmicutes_C	1
NG5636524	Verrucomicrobiota	1
NG5636536	Actinobacteriota	8
NG5636536	Bacteroidota	17
NG5636536	Euryarchaeota	1
NG5636536	Firmicutes	6
NG5636536	Firmicutes_A	42
NG5636536	Firmicutes_C	2
NG5636536	Proteobacteria	1
NG563654	Actinobacteriota	2
NG563654	Bacteroidota	23
NG563654	Euryarchaeota	2
NG563654	Firmicutes	7
NG563654	Firmicutes_A	72
NG563654	Firmicutes_C	1
NG563654	Verrucomicrobiota	1
NG5636551	Actinobacteriota	4
NG5636551	Bacteroidota	24
NG5636551	Firmicutes	7
NG5636551	Firmicutes_A	78
NG5636551	Firmicutes_C	2
NG5636551	Proteobacteria	2
NG5636551	Verrucomicrobiota	1
NG5636552	Actinobacteriota	7
NG5636552	Bacteroidota	21
NG5636552	Desulfobacterota_A	1
NG5636552	Euryarchaeota	1
NG5636552	Firmicutes	6
NG5636552	Firmicutes_A	61
NG5636552	Firmicutes_C	1
NG5636552	Verrucomicrobiota	1
NG5636558	Actinobacteriota	5
NG5636558	Bacteroidota	24
NG5636558	Euryarchaeota	2
NG5636558	Firmicutes	14
NG5636558	Firmicutes_A	64
NG5636558	Firmicutes_C	1
NG5636558	Verrucomicrobiota	1
NG5636577	Actinobacteriota	5
NG5636577	Bacteroidota	15
NG5636577	Euryarchaeota	1
NG5636577	Firmicutes	4
NG5636577	Firmicutes_A	62
NG5636577	Firmicutes_C	1
NG5636577	Proteobacteria	2
NG5636577	Verrucomicrobiota	1
NG563658	Actinobacteriota	5
NG563658	Bacteroidota	21
NG563658	Euryarchaeota	1
NG563658	Firmicutes	8
NG563658	Firmicutes_A	56
NG563658	Firmicutes_C	1
NG563658	Proteobacteria	1
NG563658	Verrucomicrobiota	1
NG5636587	Actinobacteriota	4
NG5636587	Bacteroidota	21
NG5636587	Firmicutes	11
NG5636587	Firmicutes_A	59
NG5636587	Firmicutes_C	1
NG5636587	Proteobacteria	1
NG563660	Actinobacteriota	6
NG563660	Bacteroidota	22
NG563660	Desulfobacterota_A	1
NG563660	Euryarchaeota	1
NG563660	Firmicutes	5
NG563660	Firmicutes_A	82
NG563660	Firmicutes_C	2
NG563660	Proteobacteria	2
NG563660	Verrucomicrobiota	1
NG5636604	Actinobacteriota	4
NG5636604	Bacteroidota	7
NG5636604	Firmicutes	11
NG5636604	Firmicutes_A	27
NG5636604	Proteobacteria	1
NG5636604	Verrucomicrobiota	1
NG5636628	Bacteroidota	28
NG5636628	Cyanobacteria	1
NG5636628	Euryarchaeota	1
NG5636628	Firmicutes	9
NG5636628	Firmicutes_A	50
NG5636628	Firmicutes_C	1
NG5636628	Proteobacteria	2
NG5636646	Actinobacteriota	1
NG5636646	Bacteroidota	13
NG5636646	Firmicutes	3
NG5636646	Firmicutes_A	31
NG5636646	Firmicutes_C	2
NG5636655	Actinobacteriota	4
NG5636655	Bacteroidota	15
NG5636655	Firmicutes	4
NG5636655	Firmicutes_A	42
NG5636655	Firmicutes_C	1
NG563692	Actinobacteriota	1
NG563692	Bacteroidota	5
NG563692	Firmicutes	4
NG563692	Firmicutes_A	53
NG563692	Firmicutes_C	1
NG563692	Proteobacteria	2
NG563692	Verrucomicrobiota	1
